Store ID,Address,City,State
1616,2900 MAIN ST,SUSANVILLE,CA
2054,10355 WICKLOW WAY,JACKSON,CA
1554,3223 E HAMMER LN,STOCKTON,CA
1555,2150 N WATERMAN AVE,EL CENTRO,CA
1563,44665 VALLEY CENTRAL WAY,LANCASTER,CA
1574,6225 COLONY ST,BAKERSFIELD,CA
1575,465 CAL OAK RD,OROVILLE,CA
1583,1977 W CLEVELAND AVE,MADERA,CA
1587,2225 PLAZA PKWY,MODESTO,CA
1588,11896 AMARGOSA RD,VICTORVILLE,CA
1600,201 E BOWMAN RD,RIDGECREST,CA
1608,608 LUTHER ROAD,RED BLUFF,CA
1615,2203 LOVERIDGE RD,PITTSBURG,CA
1624,2601 FASHION PLACE,BAKERSFIELD,CA
1645,250 S 12TH AVE,HANFORD,CA
1651,7011 MAIN ST,AMERICAN CANYON,CA
1660,40130 10TH ST W,PALMDALE,CA
1692,1120 S MOUNT VERNON AVE,COLTON,CA
1693,2050 W REDLANDS BLVD,REDLANDS,CA
1697,8465 ELK GROVE BLVD,ELK GROVE,CA
1700,13425 COMMUNITY RD,POWAY,CA
1704,1501 HELEN POWER DR,VACAVILLE,CA
1747,1800 N PERRIS BLVD,PERRIS,CA
1755,4625 REDWOOD DR,ROHNERT PARK,CA
1756,17251 FOOTHILL BLVD,FONTANA,CA
1760,1018 RILEY ST,FOLSOM,CA
1789,1601 S LOWER SACRAMENTO RD,LODI,CA
1805,79295 US HWY 111,LA QUINTA,CA
1815,4080 W SHAW AVE,FRESNO,CA
1826,1819 E NOBLE AVE,VISALIA,CA
1832,5601 E RAMON RD,PALM SPRINGS,CA
1840,1205 S MAIN ST,MANTECA,CA
1853,1231 S SANDERSON AVE,HEMET,CA
1859,2540 ROCKWOOD AVE,CALEXICO,CA
1862,1366 S RIVERSIDE AVE,RIALTO,CA
1877,1250 W HENDERSON AVE,PORTERVILLE,CA
1879,301 MONTARA RD,BARSTOW,CA
1881,7901 WATT AVE,ANTELOPE,CA
1882,3400 FLORAL AVE,SELMA,CA
1899,6250 VALLEY SPRINGS PKWY,RIVERSIDE,CA
1903,1150 HARTER RD,YUBA CITY,CA
1910,900 E WASHINGTON BLVD,CRESCENT CITY,CA
1912,479 N MCKINLEY ST,CORONA,CA
1914,4210 HIGHLAND AVE,HIGHLAND,CA
1915,58501 29 PALMS HWY,YUCCA VALLEY,CA
1917,170 TOWN CENTER PARKWAY,SANTEE,CA
1922,12549 FOOTHILL BLVD,RANCHO CUCAMONGA,CA
1941,1950 AUTO CENTER DRIVE,GLENDORA,CA
1963,2111 FULKERTH RD,TURLOCK,CA
1972,2700 LAS POSITAS RD,LIVERMORE,CA
1979,15960 DAM RD,CLEARLAKE,CA
1983,3960 MITCHELL RD,CERES,CA
1988,900 PLEASANT GROVE BLVD,ROSEVILLE,CA
1989,701 W CENTRAL AVE,LOMPOC,CA
1992,1540 W FOOTHILL BLVD,UPLAND,CA
2001,5125 EAST KINGS CANYON RD,FRESNO,CA
2002,7150 CAMINO ARROYO,GILROY,CA
2025,3010 W GRANT LINE RD,TRACY,CA
2028,5200 VAN BUREN BLVD,RIVERSIDE,CA
2030,1101 SANGUINETTI ROAD,SONORA,CA
2031,30600 DYER ST,UNION CITY,CA
2032,2001 N ROSE AVE,OXNARD,CA
2039,3055 LOUGHBOROUGH DR,MERCED,CA
2044,2044 FOREST AVE,CHICO,CA
2048,2701 N TEXAS ST,FAIRFIELD,CA
2052,1155 AIRPORT PARK BLVD,UKIAH,CA
2077,29260 CENTRAL AVE,LAKE ELSINORE,CA
2082,12701 TOWNE CENTER DR,CERRITOS,CA
2094,1800 UNIVERSITY DR,VISTA,CA
2099,180 NIBLICK RD,PASO ROBLES,CA
2110,14501 LAKEWOOD BLVD,PARAMOUNT,CA
2117,1575 WEST PACHECO BLVD,LOS BANOS,CA
2119,301 RANCH DR,MILPITAS,CA
2150,710 DENNERY ROAD,SAN DIEGO,CA
2161,4501 ROSEWOOD DR,PLEASANTON,CA
2177,3382 MURPHY CANYON ROAD,SAN DIEGO,CA
2181,82-491 AVENUE 42,INDIO,CA
2190,1720 E MAIN ST,WOODLAND,CA
2206,27470 ALICIA PKWY,LAGUNA NIGUEL,CA
2218,26502 TOWNE CENTRE DR,FOOTHILL RANCH,CA
2226,19340 HAWTHORNE BLVD,TORRANCE,CA
2242,440 N EUCLID ST,ANAHEIM,CA
2245,705 COLLEGE BLVD,OCEANSIDE,CA
2251,17150 GALE AVE,CITY OF INDUSTRY,CA
2253,13487 CAMINO CANADA,EL CAJON,CA
2277,323 W SHAW AVE,CLOVIS,CA
2280,600 SHOWERS DR,MOUNTAIN VIEW,CA
2288,80 RIO RANCHO RD,POMONA,CA
2291,75 NORTH BROADWAY,CHULA VISTA,CA
2292,1275 N AZUSA AVE,COVINA,CA
2297,25450 THE OLD RD,STEVENSON RANCH,CA
2333,20251 HWY 18,APPLE VALLEY,CA
2401,1600 MOUNTAIN AVE,DUARTE,CA
2418,4300 MISSOURI FLAT RD,PLACERVILLE,CA
1630,1906 FORT JONES RD,YREKA,CA
2457,10655 FOLSOM BLVD,RANCHO CORDOVA,CA
2458,1800 N MAIN ST,SALINAS,CA
2464,8270 DELTA SHORES CIR S,SACRAMENTO,CA
2468,901 GOLF COURSE DR,ROHNERT PARK,CA
2479,3412 COLLEGE AVE,SAN DIEGO,CA
2486,4080 STEVENS CREEK BLVD,SAN JOSE,CA
2487,1560 W 6TH ST,CORONA,CA
2494,2100 VISTA WAY,OCEANSIDE,CA
2495,13331 BEACH BLVD,WESTMINSTER,CA
2507,2220 S BRADLEY RD,SANTA MARIA,CA
2517,3600 W MCFADDEN AVE,SANTA ANA,CA
2523,2595 E IMPERIAL HWY,BREA,CA
2526,19821 RINALDI ST,PORTER RANCH,CA
2527,951 AVENIDA PICO,SAN CLEMENTE,CA
2536,1110 E PROSPERITY AVE,TULARE,CA
2537,1515 DANA DR,REDDING,CA
2546,2300 N TUSTIN ST,ORANGE,CA
2553,6650 HEMBREE LN,WINDSOR,CA
2556,1168 W BRANCH ST,ARROYO GRANDE,CA
2557,8400 ROSEDALE HWY,BAKERSFIELD,CA
2568,8333 VAN NUYS BLVD,PANORAMA CITY,CA
2598,3661 TRUXEL RD,SACRAMENTO,CA
2609,2770 CARSON ST,LAKEWOOD,CA
2621,255 COCHRAN ST,SIMI VALLEY,CA
2636,8230 TALBERT AVE,HUNTINGTON BEACH,CA
2648,1919 DAVIS ST,SAN LEANDRO,CA
2689,3131 N CEDAR AVE,FRESNO,CA
2697,4893 LONE TREE WAY,ANTIOCH,CA
2708,32225 TEMECULA PKWY,TEMECULA,CA
2735,6051 FLORIN RD,SACRAMENTO,CA
2826,83053 AVENUE 48,COACHELLA,CA
2842,1290 E ONTARIO AVE,CORONA,CA
2886,8500 WASHINGTON BLVD,PICO RIVERA,CA
2925,681 LINCOLN AVE,NAPA,CA
2948,13310 TELEGRAPH RD,SANTA FE SPRINGS,CA
2950,37140 47TH ST E,PALMDALE,CA
2951,1731 E AVENUE J,LANCASTER,CA
2952,41200 MURRIETA HOT SPRINGS RD,MURRIETA,CA
2985,7065 N INGRAM AVE,FRESNO,CA
2989,44009 OSGOOD RD,FREMONT,CA
2998,25755 BARTON RD,LOMA LINDA,CA
3022,1189 E MARCH LN,STOCKTON,CA
3023,4055 EVERGREEN VILLAGE SQ STE 140,SAN JOSE,CA
3026,72314 HIGHWAY 111,PALM DESERT,CA
3046,1421 COFFEE RD,MODESTO,CA
3047,2480 GEER ROAD,TURLOCK,CA
3081,8915 GERBER ROAD,SACRAMENTO,CA
3084,1266 E VALLEY PKWY,ESCONDIDO,CA
3087,2701 SAVIERS RD,OXNARD,CA
3090,5609 PACIFIC ST,ROCKLIN,CA
3099,5420 LA PALMA AVE,LA PALMA,CA
3101,121 N BEACH BLVD,ANAHEIM,CA
3123,3255 MISSION COLLEGE BLVD,SANTA CLARA,CA
3131,300 W BASE LINE RD,RIALTO,CA
3132,778 E ARROW HWY,POMONA,CA
3133,1425 N HACIENDA BLVD,LA PUENTE,CA
3138,5625 CALLOWAY DR,BAKERSFIELD,CA
3139,1249 ALLEN RD,BAKERSFIELD,CA
3140,3111 NORTH CHESTER,BAKERSFIELD,CA
3141,5037 E BRUNDAGE LN,BAKERSFIELD,CA
3147,2204 TAPO ST,SIMI VALLEY,CA
3179,512 N VENTU PARK Rd,THOUSAND OAKS,CA
3180,4651 FIRESTONE BLVD,SOUTH GATE,CA
3248,1340 S BEACH BLVD,LA HABRA,CA
3276,4001 HALLMARK PKWY,SAN BERNARDINO,CA
3352,10355 TRINITY PKWY,STOCKTON,CA
3455,1400 HILLTOP MALL RD,RICHMOND,CA
3464,3943 GRAND AVE,CHINO,CA
3477,7250 CARSON BLVD,LONG BEACH,CA
3493,1021 ARNOLD DR,MARTINEZ,CA
3494,732 CENTER DR,SAN MARCOS,CA
3516,1360 EASTLAKE PKWY,CHULA VISTA,CA
3522,3250 BIG DALTON AVE,BALDWIN PARK,CA
3523,26471 CARL BOYER DR,SANTA CLARITA,CA
3587,5454 CROSSINGS DR,ROCKLIN,CA
3650,1739 S VICTORIA AVE,VENTURA,CA
3652,755 RIVERPOINT CT,WEST SACRAMENTO,CA
3708,350 WALTERS RD,SUISUN CITY,CA
3712,7010 AUBURN BLVD,CITRUS HEIGHTS,CA
2053,470 N AIRPORT RD,WILLOWS,CA
3796,1333 N MOUNTAIN AVE,ONTARIO,CA
3947,875 E H ST,CHULA VISTA,CA
4101,3705 E SOUTH ST,LONG BEACH,CA
4127,215 CALIFORNIA ST,WOODLAND,CA
4132,9001 APOLLO WAY,DOWNEY,CA
4134,12840 BEACH BLVD,STANTON,CA
4169,300 NORTH SECOND STREET,EL CAJON,CA
4171,11822 GILBERT ST,GARDEN GROVE,CA
4174,1450 MONTEREY RD,SAN JOSE,CA
4202,1400 LEAD HILL BLVD,ROSEVILLE,CA
4238,2761 JENSEN AVE,SANGER,CA
4309,8961 GREENBACK LN,ORANGEVALE,CA
4317,400 TUCKER RD,TEHACHAPI,CA
4340,13401 MAIN ST,HESPERIA,CA
4392,12234 PALMDALE RD,VICTORVILLE,CA
4393,4675 WATT AVE,NORTH HIGHLANDS,CA
4488,150 BEACH RD,MARINA,CA
4759,6197 SUNRISE BLVD,CITRUS HEIGHTS,CA
4762,1180 S DIAMOND BAR BLVD,DIAMOND BAR,CA
5007,2050 NUT TREE RD,VACAVILLE,CA
5008,859 W FLORIDA AVE,HEMET,CA
5023,1200 HIGHLAND AVE,NATIONAL CITY,CA
5032,8450 LA PALMA AVE,BUENA PARK,CA
5072,19503 NORMANDIE AVE,TORRANCE,CA
5075,3405 MARRON RD,OCEANSIDE,CA
5096,34500 MONTEREY AVE,PALM DESERT,CA
5133,5000 RHONDA RD,ANDERSON,CA
5134,5075 GOSFORD RD,BAKERSFIELD,CA
5136,1131 N BEALE RD,MARYSVILLE,CA
5139,235 E DORSET DR,DIXON,CA
5140,5500 GROSSMONT CENTER DR,LA MESA,CA
5152,6433 FALLBROOK AVE,WEST HILLS,CA
5154,1827 WALNUT GROVE AVE,ROSEMEAD,CA
5156,1540 E 2ND ST,BEAUMONT,CA
5162,27931 KELLY JOHNSON PKWY,SANTA CLARITA,CA
5192,5821 ANTELOPE RD,SACRAMENTO,CA
5193,12721 MORENO BEACH DR,MORENO VALLEY,CA
5215,530 WOOLLOMES AVE,DELANO,CA
5231,10470 TWIN CITIES RD,GALT,CA
5305,1150 BROADWAY,CHULA VISTA,CA
5335,250 WILDCAT DR,BRAWLEY,CA
5337,1185 HERNDON AVE,CLOVIS,CA
5338,4840 SHAWLINE ST,SAN DIEGO,CA
5394,770 W EL MONTE WAY,DINUBA,CA
5425,1861 S SAN JACINTO AVE,SAN JACINTO,CA
5434,15555 HESPERIAN BLVD,SAN LEANDRO,CA
5435,777 STORY RD,SAN JOSE,CA
5600,30491 AVENIDA DE LAS FLORES,RANCHO SANTA MARGARITA,CA
5601,21132 BEACH BLVD,HUNTINGTON BEACH,CA
5602,20226 AVALON BLVD,CARSON,CA
5603,12270 PARAMOUNT BLVD,DOWNEY,CA
5604,14441 INGLEWOOD AVE,HAWTHORNE,CA
5605,14530 NORDHOFF ST,PANORAMA CITY,CA
5606,1250 E GIBSON RD,WOODLAND,CA
5608,941 ALAMO DR,VACAVILLE,CA
5609,501 SERENO DR,VALLEJO,CA
5610,9100 ALCOSTA BLVD,SAN RAMON,CA
5611,3112 SANTA RITA RD,PLEASANTON,CA
5629,3300 BROADWAY BAYSHORE MALL,EUREKA,CA
5632,1804 E ASHLAN AVE,FRESNO,CA
5633,1830 SHAW AVE,CLOVIS,CA
5634,6855 N WILLOW AVE,FRESNO,CA
5635,1320 N DEMAREE ST,VISALIA,CA
5637,1046 MISSION AVE,OCEANSIDE,CA
5640,1120 S ANAHEIM BLVD,ANAHEIM,CA
5641,1000 E IMPERIAL HWY,LA HABRA,CA
5643,421 W ESPLANADE DR,OXNARD,CA
5644,16555 VON KARMAN AVE,IRVINE,CA
5658,2240 S BRADLEY RD,SANTA MARIA,CA
5659,500 S BLOSSER RD,SANTA MARIA,CA
5661,14865 TELEGRAPH ROAD,LA MIRADA,CA
5663,8844 LIMONITE AVE,JURUPA VALLEY,CA
5664,275 WEST VENTURA BLVD,CAMARILLO,CA
5683,8455 ELK GROVE BLVD,ELK GROVE,CA
5684,8810 GROSSMONT BLVD,LA MESA,CA
5686,1301 N VICTORY PL,BURBANK,CA
5689,3875 RANCHO VISTA BOULEVARD,PALMDALE,CA
5691,1445 E FOOTHILL BLVD,UPLAND,CA
5701,14061 W. WHITESBRIDGE AVENUE,KERMAN,CA
5710,3848 MCHENRY AVE,MODESTO,CA
5751,1375 N DAVIS RD.,SALINAS,CA
5766,170 COCHRANE PLZ,MORGAN HILL,CA
5807,2100 N LONG BEACH BLVD,COMPTON,CA
5843,1030 SPERRY AVE,PATTERSON,CA
5848,10075 BRUCEVILLE RD,ELK GROVE,CA
5859,401 N CENTRAL AVE,WASCO,CA
5874,22015 HAWTHORNE BLVD,TORRANCE,CA
5884,5095 ALMADEN EXPY,SAN JOSE,CA
5886,1550 LEUCADIA BLVD,ENCINITAS,CA
5890,800 COMMERCE AVE,ATWATER,CA
5930,88 E ORANGETHORPE AVE,ANAHEIM,CA
5938,575 SATURN BLVD,SAN DIEGO,CA
5956,3750 S MOONEY BLVD,VISALIA,CA
5979,255 LINCOLN BLVD,LINCOLN,CA
5981,6005 MADISON AVE,CARMICHAEL,CA
5982,2700 MARCONI AVE,SACRAMENTO,CA
5996,1330 E GRAND AVE,ESCONDIDO,CA
8958,44100 JEFFERSON ST STE F,INDIO,CA
